Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,      2.05,,,      1.93,      2.65,      2.71,,,      3.05,      3.38,      3.20,      3.72,      5.10,      4.61,      4.42,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,              4.08,              4.00,              3.95,      3.87,      3.91,      3.99,      3.91,      4.06,      4.19,      4.35,      4.11,      3.89,,      4.15,      4.12,      4.19,      4.34,      4.28,      3.94,      4.59,      4.89,      4.77,      5.12,      5.69,      5.51,      5.45,      5.21,      6.65,      6.73,      7.89,
,Iraq,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      8.21,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      1.92,      2.10,      2.20,      2.41,      2.42,      3.16,      3.46,      4.06,      4.05,      4.16,      4.96,      7.10,      7.68,      6.80,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,              3.13,              3.30,              3.42,      3.36,      3.21,      3.23,      3.46,      3.53,      3.96,      3.83,      4.16,      4.42,      4.44,      4.68,      4.61,      4.28,      4.97,      4.58,      4.01,      4.23,      4.89,      4.81,      4.71,      5.49,      6.15,      5.95,      5.98,      6.44,      6.08,      7.80,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,              2.32,,              2.33,      2.24,      2.55,,      2.52,,,      2.60,      2.82,      2.89,      2.43,      2.33,      2.59,      2.82,      2.13,,,,,      2.66,      2.92,      2.85,      3.46,      3.59,      3.10,      3.93,      4.82,      7.92,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,      3.05,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.08,      3.61,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,             43.04,             44.59,             45.65,     45.39,     42.62,     37.14,     36.47,     35.27,     36.71,     36.95,     40.41,     43.89,     47.92,     49.71,     52.97,     54.06,     56.72,     55.43,     58.37,     57.27,     51.94,     48.82,     48.55,     45.88,     46.15,     46.54,     47.63,     38.31,     41.30,     22.22,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,             32.02,             32.37,             32.36,     32.25,     31.81,     30.39,     31.10,     30.42,     30.58,     31.66,     31.09,     32.55,     33.12,     36.75,     38.97,     43.50,     45.87,     46.48,     48.90,     49.43,     46.94,     45.56,     44.65,     43.09,     44.40,     48.27,     52.76,     43.66,     42.88,     20.08,
