Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Textiles and Clothing,Export,Export(US$ Mil),          15484.74,          18557.09,          16497.06,          16234.89,          17789.95,          17181.80,          16490.45,          18177.70,          18173.47,          16257.80,          17772.21,          16275.48,          16016.64,          14072.82,          15893.42,          14873.27,          13794.15,          11988.04,          10803.03,          10183.81,           8741.58,           6587.52,           5839.43,           6043.40,           4306.24,           3081.78,           1704.75,           1434.00,             29.30,             11.98,
,World,Transportation,Export,Export(US$ Mil),          36458.10,          34387.94,          25454.09,          30477.28,          26560.77,          23076.23,          21684.39,          16804.08,          17274.59,          17057.08,          14983.83,          13343.98,          11478.67,           8602.66,           6787.23,           4995.22,           4179.90,           3697.03,           2904.28,           2634.42,           1861.64,           1584.71,           1463.42,           1477.66,            970.69,           1335.02,            772.81,            526.67,            156.20,            143.35,
,World,Vegetable,Export,Export(US$ Mil),          12534.72,          15971.68,          14988.37,          12803.09,          15955.20,          14961.99,          10978.22,          14993.19,          15099.63,          10791.51,          10348.81,           8233.40,           8806.48,           7368.81,           6542.64,           6359.70,           5658.22,           4582.82,           3393.94,           3850.33,           3240.45,           2849.19,           2313.71,           2681.67,           1497.53,           1375.63,            798.80,            610.51,             19.52,             16.77,
,World,Wood,Export,Export(US$ Mil),           5212.74,           5472.09,           4970.81,           4781.94,           5054.91,           4995.34,           4687.58,           4368.06,           4101.64,           3505.40,           3615.30,           2890.50,           2375.09,           2050.70,           1735.76,           1553.61,           1286.34,            998.71,            912.75,            805.40,            646.01,            460.27,            518.34,            584.28,            376.30,            284.47,            156.01,            141.91,              4.47,              4.99,
,World,All Products,Export,Exports (in US$ Mil),        1019673.16,         991512.44,         913704.46,         907677.74,        1382837.88,        1480013.20,        1262222.36,        1354031.65,        1020740.19,         704040.60,        1015741.99,         754774.89,         707097.39,         552183.09,         461549.00,         356621.03,         293747.63,         259586.56,         265496.98,         164046.44,         111673.44,          80457.35,         110882.63,         100670.78,          71959.85,          68673.07,          74618.78,          56111.93,           5504.42,           3932.78,
,World,Capital goods,Import,Import(US$ Mil),         199214.41,         256994.19,         208579.66,         205877.83,         226988.13,         204112.57,         195174.02,         141300.24,         143594.51,         107549.66,         173937.15,         134805.35,          79975.80,          95939.54,          73281.33,          57174.75,          51335.89,          45798.24,          42696.65,          39648.21,          39696.55,          27385.48,          27426.40,          28091.33,          17988.56,          16480.64,          15807.91,          10959.58,            616.17,            608.24,
,World,Consumer goods,Import,Import(US$ Mil),         269907.78,         339231.09,         254976.64,         272388.45,         308201.04,         280711.35,         256779.56,         177192.82,         172949.64,         121132.61,         204506.59,         152998.98,          94675.49,         102128.99,          73168.42,          59201.26,          50387.84,          48765.72,          42175.28,          34141.72,          34837.40,          23656.81,          26454.33,          26872.61,          16968.48,          17567.98,          18024.67,          14708.45,           1149.41,            898.82,
,World,Intermediate goods,Import,Import(US$ Mil),         183500.87,         217885.40,         197401.17,         199215.19,         245740.38,         236473.53,         213861.82,         152603.79,         141783.51,          97886.97,         194725.40,         134919.76,          78546.01,          97556.96,          73862.11,          58511.76,          50479.16,          46245.86,          39497.91,          37754.15,          41134.57,          29827.89,          30703.19,          32748.03,          21275.27,          18467.17,          18176.89,          12381.63,            496.53,            439.97,
,World,Raw materials,Import,Import(US$ Mil),          85390.43,         128499.64,          76717.34,          82019.38,         111424.16,         103497.52,          90992.60,          84859.32,          70476.08,          50327.65,          85967.41,          59943.08,          43295.27,          44766.74,          34528.46,          27568.94,          25942.97,          24136.30,          23262.20,          20008.57,          17760.93,          17859.99,          17237.10,          17404.95,           8724.19,           6101.95,           4560.36,           2929.85,            245.91,            233.71,
,World,All Products,Import,Imports (in US$ Mil),         750112.15,         965950.17,         831611.81,         869810.68,        1004462.89,         942635.43,         809037.82,         780767.60,         721273.52,         542540.35,         682110.63,         509388.57,         430902.18,         361214.59,         341414.71,         266740.22,         229335.18,         207774.56,         182421.05,         159295.36,         135513.67,          99744.72,         103170.36,         106280.99,          65643.57,          59479.85,          57310.10,          41740.37,           2681.23,           2257.34,
