Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Stone and Glass,Export,Export(US$ Mil),         297462.04,         281074.21,         283268.31,         293001.18,         318068.11,         428691.10,         327686.84,         223926.57,         173189.76,         141143.51,         180360.41,         165671.24,         141382.48,         123973.47,         119053.58,          99864.92,          92423.58,          81636.32,          85625.50,          79491.21,          65775.49,          62428.06,          63152.50,          61280.13,          54313.09,          28148.34,          22340.89,          18238.93,          18548.72,          15877.07,          12880.70
,World,Textiles and Clothing,Export,Export(US$ Mil),         254380.42,         234445.86,         216127.14,         210221.27,         239705.35,         227786.32,         211518.78,         226038.36,         194622.16,         185223.49,         224004.19,         214428.23,         190804.73,         181042.02,         179327.94,         160076.97,         137009.17,         128816.24,         127053.50,         133179.41,         130702.59,         133496.08,         126246.27,         121820.44,         103666.20,          55750.28,          55445.14,          39272.64,          41280.87,          34341.85,          25095.12
,World,Transportation,Export,Export(US$ Mil),        1003967.53,         947568.22,         888359.84,         852350.23,         903812.20,         851613.23,         800412.02,         829638.81,         699496.74,         601932.56,         831741.94,         775951.14,         653983.47,         589609.08,         564429.63,         477427.47,         399721.99,         355885.04,         338967.93,         342205.69,         315312.26,         281241.31,         275693.66,         255224.32,         208389.00,         123646.34,         120715.01,          90059.87,          90130.81,          76325.16,          58809.24
,World,Vegetable,Export,Export(US$ Mil),         213893.87,         203123.87,         189918.09,         184597.00,         206849.40,         209290.16,         196082.95,         190058.52,         152875.71,         145572.89,         170654.17,         132830.85,         105402.06,          95812.26,          87423.63,          78922.43,          64601.11,          56833.74,          54864.77,          62228.29,          59194.21,          59251.98,          62849.69,          59611.74,          49870.88,          29222.84,          30759.74,          15283.11,          14916.57,          13259.81,           4768.90
,World,Wood,Export,Export(US$ Mil),         225047.04,         202834.27,         188878.08,         187144.43,         217847.45,         214371.37,         204364.07,         220589.06,         197842.75,         180644.12,         225341.73,         214677.43,         184202.11,         168441.55,         161423.31,         140716.52,         119214.91,         110217.42,         111928.00,         107091.12,         103360.04,         100327.26,         102145.19,         105055.07,          80452.40,          49275.76,          49130.73,          30837.59,          32410.99,          28158.83,          23562.45
,World,All Products,Export,Exports (in US$ Mil),        7546411.13,        6867012.33,        6223943.52,        6270751.18,        7367491.88,        7433563.69,        7099083.70,        7245520.87,        6098638.66,        5346317.58,        7057491.76,        6190265.69,        5309092.71,        4634219.96,        4225331.71,        3490443.49,        2933842.08,        2739943.02,        2711779.49,        2522901.05,        2348112.27,        2300778.53,        2273394.79,        2090225.62,        1697362.57,        1045609.89,         915017.98,         619707.76,         625127.91,         533064.02,         413500.46
,World,Capital goods,Import,Import(US$ Mil),        2050787.58,        1908075.34,        1733568.35,        1659587.54,        1852247.89,        1794377.13,        1738494.47,        1857883.74,        1607805.95,        1355777.94,        1889516.34,        1721983.77,        1497035.90,        1306793.78,        1207487.17,         989358.41,         836426.51,         829669.49,         859555.14,         806244.79,         740939.48,         663485.53,         634736.93,         580862.16,         465637.60,         295415.20,         256342.23,         180878.53,         171519.36,         136858.79,          88293.52
,World,Consumer goods,Import,Import(US$ Mil),        2617034.24,        2382497.67,        2181457.74,        2178583.20,        2540523.55,        2528577.16,        2420683.35,        2568096.49,        2172241.75,        1985289.14,        2469609.64,        2150958.79,        1830942.34,        1599176.27,        1437403.62,        1203475.80,         991959.16,         891076.92,         853269.59,         807380.39,         750776.32,         708097.91,         703404.03,         643227.06,         549840.90,         355047.19,         327055.95,         229171.83,         205855.05,         153988.68,         118919.05
,World,Intermediate goods,Import,Import(US$ Mil),        1659455.96,        1523485.87,        1389369.27,        1365869.97,        1578901.76,        1620163.11,        1555379.27,        1581171.38,        1292871.50,        1081876.64,        1538508.28,        1398212.82,        1146143.06,         964396.86,         880625.66,         715158.30,         600425.68,         570623.23,         562824.09,         536358.69,         522215.75,         500003.52,         500096.11,         505734.99,         400695.01,         226302.62,         211536.09,         148045.77,         155899.09,         132918.51,          92913.70
,World,Raw materials,Import,Import(US$ Mil),         803128.42,         697089.98,         582927.31,         636891.51,         893958.68,         957632.78,         981384.33,         998405.47,         772283.88,         622344.69,         948428.01,         748942.06,         656577.65,         555474.70,         451665.11,         355548.30,         295492.76,         281636.26,         301045.53,         248681.80,         227663.17,         252924.96,         263784.34,         236577.77,         207348.87,         130304.33,         122557.83,          85454.92,          89433.89,          75528.25,          47209.97
,World,All Products,Import,Imports (in US$ Mil),        7311063.88,        6699972.70,        6038556.91,        5973099.06,        7031171.66,        7064218.20,        6928569.52,        7236117.32,        6099448.39,        5340803.21,        7165352.58,        6303370.41,        5337298.29,        4583587.00,        4164779.62,        3408236.34,        2826288.86,        2688894.57,        2726996.76,        2504927.29,        2321187.47,        2233567.21,        2203266.17,        2038469.57,        1671534.72,        1046478.81,         942742.73,         660324.90,         639257.06,         513520.35,         359395.57
,...,...,Development,"GNI per capita, Atlas method (current US$)",          24328.65,          22808.82,          23322.18,  24625.55,  25997.63,  25971.85,  25273.51,  24964.50,  24486.21,  24293.12,  24535.49,  22534.15,  20816.34,  19206.83,  16562.45,  13620.33,  12047.14,  12119.51,  12519.83,  12442.44,  12566.56,  12948.25,  12721.78,  12019.58,  11538.74,  11356.35,  11552.50,  10474.63,   9860.47,   9184.94,   8598.73
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),             84.09,             82.59,             79.59,     80.21,     79.60,     79.49,     79.95,     78.98,     74.22,     67.66,     76.37,     74.73,     73.82,     70.08,     67.57,     65.15,     65.99,     68.23,     69.18,     62.72,     61.13,     60.43,     57.25,     56.84,     54.73,     53.52,     57.14,     50.64,     51.87,     52.89,     51.11
,...,...,Development,Trade Balance (% of GDP),              3.44,              3.20,              3.26,      3.52,      3.19,      2.92,      2.63,      1.79,      1.73,      1.83,      1.48,      1.59,      1.81,      2.03,      2.17,      1.93,      2.25,      1.94,      1.89,      1.86,      1.34,      1.37,      1.26,      1.25,      1.30,      1.19,      0.94,     -0.09,     -0.60,     -0.75,     -0.54
,...,...,Development,Trade in services (% of GDP),             23.51,             23.28,             22.48,     22.32,     20.62,     19.54,     18.85,     18.13,     17.89,     17.68,     17.77,     17.37,     17.00,     16.56,     15.36,     14.86,     15.25,     15.04,     14.75,     13.43,     12.08,     11.60,     10.89,     10.66,     10.54,     10.79,     10.39,      9.84,      9.94,      9.80,      9.53
,Belgium-Luxembourg,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      6.67,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,              8.69,              8.75,              8.85,      8.79,      8.16,      7.68,      7.66,      7.79,      8.30,      7.38,      6.75,      6.46,      5.75,      5.35,,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,              6.77,              6.90,              7.01,      6.89,      7.01,      7.08,      7.19,      7.62,      7.77,      8.33,      7.86,      7.98,      8.32,      8.50,      8.65,      8.82,      8.68,      8.89,      9.07,      9.17,      8.27,      7.98,      8.32,      8.78,      8.89,     10.21,     11.24,     12.51,     12.45,     12.19,     11.78
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.31,              5.38,              5.51,      5.63,      5.69,      5.59,      5.55,      5.65,      5.90,      6.29,      6.09,      6.46,      6.70,      6.94,      7.47,      7.81,      7.81,      7.81,      7.77,      8.41,      8.09,      7.93,      7.97,      8.31,      8.38,      9.53,     10.30,     11.62,     10.97,     10.72,     11.18
